question,option1,option2,option3,option4,answer,subject
What is the capital of France?,Paris,London,Berlin,Madrid,Paris,General Knowledge
Which planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,Mars,General Knowledge
How many continents are there?,5,6,7,8,7,General Knowledge
Who wrote "Hamlet"?,Shakespeare,Dickens,Tolkien,Rowling,Shakespeare,General Knowledge
What is the tallest mountain?,K2,Everest,Kilimanjaro,Himalayas,Everest,General Knowledge
What do bees make?,Wax,Sugar,Milk,Honey,Honey,General Knowledge
Which ocean is largest?,Atlantic,Pacific,Indian,Arctic,Pacific,General Knowledge
Which language has the most native speakers?,English,Spanish,Chinese,French,Chinese,General Knowledge
What color is a school bus?,Red,Green,Yellow,Blue,Yellow,General Knowledge
Which direction does the sun rise?,North,South,East,West,East,General Knowledge
2 + 2 = ?,3,4,5,6,4,Maths
5 * 6 = ?,11,30,28,32,30,Maths
What is 15 ÷ 3?,4,5,6,7,5,Maths
What is the square of 9?,81,72,63,54,81,Maths
12 - 7 = ?,3,4,5,6,5,Maths
What is 100 + 200?,100,250,300,350,300,Maths
What is 10^2?,10,20,50,100,100,Maths
What is 7 * 8?,56,48,64,58,56,Maths
What comes after 999?,998,1000,1001,1002,1000,Maths
What is the half of 50?,10,15,20,25,25,Maths
What is H2O?,Oxygen,Water,Hydrogen,Carbon,Water,Science
What organ pumps blood?,Lungs,Liver,Heart,Brain,Heart,Science
Which gas do we breathe in?,Carbon dioxide,Nitrogen,Oxygen,Helium,Oxygen,Science
How many legs do insects have?,4,6,8,10,6,Science
What is the boiling point of water?,90°C,100°C,110°C,120°C,100°C,Science
Sun is a?,Planet,Star,Comet,Asteroid,Star,Science
Which part of plant makes food?,Root,Stem,Leaf,Flower,Leaf,Science
What is human body's control center?,Heart,Brain,Liver,Stomach,Brain,Science
Which sense organ helps us see?,Nose,Ear,Eye,Tongue,Eye,Science
Plants make food by?,Respiration,Growth,Photosynthesis,Digestion,Photosynthesis,Science
Which device stores data?,Monitor,Keyboard,CPU,Hard Disk,Hard Disk,Computer
What does CPU stand for?,Central Processing Unit,Computer Power Unit,Central Print Unit,Core Power Unit,Central Processing Unit,Computer
What is used to browse internet?,Word,Excel,Chrome,Paint,Chrome,Computer
Which is input device?,Monitor,Mouse,Printer,Speaker,Mouse,Computer
What is shortcut for copy?,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,Ctrl+C,Computer
Which company makes Windows?,Google,Apple,Microsoft,Intel,Microsoft,Computer
RAM is a type of?,Storage,Input device,Memory,Software,Memory,Computer
Which one is programming language?,HTML,Python,Chrome,Word,Python,Computer
Internet stands for?,Internal Network,Interconnected Network,International Net,Interactive Net,Interconnected Network,Computer
Computer brain is?,Monitor,CPU,Keyboard,Mouse,CPU,Computer
Who is father of computer?,Bill Gates,Charles Babbage,Steve Jobs,Mark Zuckerberg,Charles Babbage,Computer
Which is a noun?,Jump,Green,Apple,Quickly,Apple,English
What is the opposite of 'hot'?,Warm,Boiling,Cold,Fire,Cold,English
Choose correct spelling:,Enviroment,Environment,Environmment,Envirenment,Environment,English
Which is an adjective?,Run,Blue,Slowly,Eat,Blue,English
She ___ going to school.,is,are,was,has,is,English
What is a verb?,Apple,Run,Green,Dog,Run,English
'He' is a?,Noun,Verb,Pronoun,Adjective,Pronoun,English
Complete the sentence: I ___ a book.,read,reading,reads,readed,read,English
What is plural of mouse?,Mouses,Mices,Mouse,Mice,Mice,English







